sensor_index,name,latitude,longitude
749,Agia,38.26301,21.74841
1006,Platani,38.297756,21.822891
1566,University of Patras,38.289433,21.785513
1592,Rio 3,38.304512,21.794697
1672,Kastelokampos,38.289345,21.773867
1712,Koukouli,38.21937,21.756044
5078,Psila Alonia,38.23952,21.734823
5092,Kypseli,38.224144,21.735792
14857,Demenika,38.200115,21.743774
23759,Germanou,38.241177,21.741581
56113,Kato Sichena,38.265163,21.756952
56453,Kritika,38.24307,21.744677
101589,Lefka,38.20659,21.727135
101597,Vlatero,38.247807,21.741768
101609,Paralia,38.19944,21.699192
101611,Trion Navarchon,38.242233,21.731613
116401,49 Dimotiko Patras,38.27691,21.760338
116409,23 Dimotiko Patras,38.258595,21.750065
121199,Gymnasio Ovryas,38.188732,21.72195
121511,64 Dimotiko Patras,38.26444,21.741283
121529,Dimotiko Saravaliou,38.191635,21.760658
121539,Peiramatiko Lagoura,38.230366,21.745886
121541,19o Gymnasio Patras,38.213306,21.726892
121547,20o Gymnasio Patras,38.208508,21.773191
